TransactionID,UPI_ID,Amount,TransactionType,Location,Time,Device,IsFraud
TXN00001,ogray@upi,18733.26,Send Money,Bangalore,22:32:13,iOS,0
TXN00002,jessica50@upi,7809.37,Merchant Payment,Bangalore,14:21:42,Android,0
TXN00003,mblair@upi,30059.74,Merchant Payment,Kolkata,01:10:40,Android,1
TXN00004,cmueller@upi,48495.79,Bill Payment,Kolkata,08:51:13,iOS,0
TXN00005,john01@upi,9178.39,Bill Payment,Kolkata,10:49:47,Android,0
TXN00006,thomasdarrell@upi,14568.54,Merchant Payment,Delhi,23:29:20,iOS,0
TXN00007,greggscott@upi,18324.43,Bill Payment,Kolkata,19:05:53,Android,0
TXN00008,bhester@upi,19129.27,Send Money,Bangalore,22:18:50,Android,0
TXN00009,charles95@upi,8534.5,Merchant Payment,Delhi,18:19:40,iOS,0
TXN00010,alexawilliams@upi,28168.78,Bill Payment,Mumbai,10:47:06,iOS,0
TXN00011,scraig@upi,34214.81,Merchant Payment,Hyderabad,11:59:03,Android,0
TXN00012,johnsonvalerie@upi,41661.41,Merchant Payment,Kolkata,02:04:36,Android,1
TXN00013,walkerrachel@upi,12946.41,Bill Payment,Kolkata,04:39:17,iOS,0
TXN00014,carolmartin@upi,28389.34,Send Money,Delhi,05:37:36,iOS,0
TXN00015,rosskim@upi,19763.56,Bill Payment,Kolkata,09:48:34,Android,0
TXN00016,websterwilliam@upi,48058.99,Send Money,Chennai,14:44:19,iOS,0
TXN00017,butlermichelle@upi,29341.69,Send Money,Hyderabad,00:50:09,iOS,0
TXN00018,phamnathan@upi,7054.8,Merchant Payment,Chennai,03:27:43,Android,0
TXN00019,anthonykelley@upi,21175.84,Send Money,Hyderabad,14:40:22,iOS,0
TXN00020,gfletcher@upi,40774.92,Send Money,Bangalore,10:31:30,Android,0
TXN00021,jeffrey03@upi,3711.49,Merchant Payment,Delhi,17:18:32,Android,0
TXN00022,bmclaughlin@upi,42503.43,Bill Payment,Mumbai,17:02:10,iOS,0
TXN00023,debbie59@upi,33445.37,Send Money,Bangalore,22:58:39,iOS,0
TXN00024,cantuadrienne@upi,44361.77,Send Money,Bangalore,15:22:26,Android,1
TXN00025,tkrueger@upi,42447.2,Send Money,Delhi,23:48:09,Android,1
TXN00026,diazcindy@upi,38550.65,Merchant Payment,Bangalore,22:11:07,Android,0
TXN00027,trevor54@upi,5553.43,Send Money,Bangalore,20:49:05,Android,0
TXN00028,brittany67@upi,23773.76,Send Money,Hyderabad,20:13:38,iOS,0
TXN00029,richard87@upi,30224.82,Merchant Payment,Bangalore,01:25:40,Android,1
TXN00030,kennedycarolyn@upi,11447.62,Merchant Payment,Bangalore,23:18:38,Android,0
TXN00031,sancheztroy@upi,46485.59,Send Money,Kolkata,20:21:50,Android,0
TXN00032,sara54@upi,22832.16,Bill Payment,Kolkata,14:04:40,Android,0
TXN00033,cathy23@upi,6113.18,Send Money,Kolkata,01:50:32,Android,0
TXN00034,michael01@upi,32388.03,Send Money,Hyderabad,13:02:39,Android,0
TXN00035,wmcdonald@upi,357.54,Merchant Payment,Mumbai,01:23:44,iOS,0
TXN00036,nfranklin@upi,6002.07,Merchant Payment,Bangalore,10:15:11,iOS,0
TXN00037,mcdanielrobin@upi,27909.52,Send Money,Kolkata,08:48:04,Android,0
TXN00038,ian92@upi,12351.33,Merchant Payment,Delhi,09:04:10,Android,0
TXN00039,stevenfigueroa@upi,14249.18,Send Money,Bangalore,05:07:08,Android,1
TXN00040,boydkimberly@upi,20557.74,Merchant Payment,Chennai,17:30:33,iOS,0
TXN00041,philip25@upi,11985.7,Bill Payment,Chennai,03:57:29,iOS,0
TXN00042,erikabarker@upi,27649.13,Merchant Payment,Hyderabad,05:10:01,Android,0
TXN00043,dmorris@upi,11889.5,Merchant Payment,Kolkata,23:39:17,iOS,0
TXN00044,lholland@upi,49171.32,Bill Payment,Bangalore,18:28:02,Android,0
TXN00045,moralescarla@upi,41766.77,Merchant Payment,Kolkata,11:34:06,iOS,0
TXN00046,nicholsonmichael@upi,29548.74,Merchant Payment,Hyderabad,08:42:21,Android,0
TXN00047,christinewong@upi,40476.96,Merchant Payment,Hyderabad,16:09:21,Android,0
TXN00048,nbrown@upi,19342.9,Bill Payment,Mumbai,17:55:59,Android,0
TXN00049,xturner@upi,5682.54,Merchant Payment,Kolkata,03:27:29,iOS,0
TXN00050,daniellesmith@upi,33002.6,Bill Payment,Mumbai,12:58:29,iOS,0
